gene	nr_patients	Frame_Shift_Del	Frame_Shift_Ins	In_Frame_Del	In_Frame_Ins	Missense_Mutation	Nonsense_Mutation	Nonstop_Mutation	Splice_Site	Translation_Start_Site
RALA	28.0	1.0	0.0	0.0	0.0	22.0	2.0	0.0	3.0	0.0
G6PC	43.0	2.0	0.0	0.0	0.0	37.0	4.0	0.0	0.0	0.0
SBSPON	35.0	1.0	0.0	0.0	0.0	31.0	2.0	0.0	1.0	0.0
ZNF605	14.0	0.0	0.0	0.0	0.0	11.0	3.0	0.0	0.0	0.0
F11R	39.0	0.0	0.0	1.0	0.0	34.0	0.0	0.0	3.0	1.0
ZCWPW1	76.0	4.0	0.0	1.0	0.0	61.0	8.0	0.0	2.0	0.0
MEIS1	64.0	1.0	0.0	0.0	0.0	57.0	4.0	0.0	2.0	0.0
THAP5	37.0	4.0	1.0	0.0	0.0	30.0	1.0	1.0	0.0	0.0
C10ORF91	13.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	1.0
CFHR2	94.0	1.0	0.0	0.0	0.0	79.0	12.0	0.0	2.0	0.0
TEKT3	77.0	1.0	0.0	0.0	0.0	72.0	3.0	0.0	1.0	0.0
DIO3	61.0	1.0	0.0	0.0	0.0	59.0	1.0	0.0	0.0	0.0
TDGF1	34.0	0.0	0.0	0.0	0.0	29.0	2.0	0.0	3.0	0.0
ASGR2	32.0	1.0	0.0	0.0	0.0	31.0	0.0	0.0	0.0	0.0
SREK1IP1	23.0	8.0	0.0	1.0	0.0	11.0	2.0	0.0	1.0	0.0
BAIAP2L1	50.0	2.0	0.0	1.0	0.0	42.0	4.0	0.0	1.0	0.0
C1ORF158	32.0	0.0	0.0	0.0	0.0	31.0	1.0	0.0	0.0	0.0
PKP3	59.0	2.0	0.0	0.0	0.0	51.0	4.0	2.0	0.0	0.0
CENPQ	21.0	0.0	0.0	0.0	0.0	19.0	2.0	0.0	0.0	0.0
GPR157	23.0	0.0	0.0	0.0	0.0	22.0	1.0	0.0	0.0	0.0
PRPF4B	94.0	6.0	2.0	1.0	0.0	77.0	6.0	0.0	1.0	1.0
SLC29A1	37.0	2.0	1.0	0.0	0.0	31.0	1.0	0.0	2.0	0.0
SLFN12L	74.0	2.0	4.0	0.0	0.0	61.0	6.0	0.0	1.0	0.0
DACT1	128.0	4.0	1.0	0.0	0.0	117.0	6.0	0.0	0.0	0.0
F11	81.0	0.0	0.0	0.0	0.0	73.0	6.0	0.0	2.0	0.0
IGHV1-24	37.0	0.0	0.0	1.0	0.0	32.0	4.0	0.0	0.0	0.0
BCL2L13	33.0	2.0	0.0	1.0	0.0	27.0	2.0	0.0	1.0	0.0
DHRS11	16.0	0.0	0.0	0.0	0.0	13.0	3.0	0.0	0.0	0.0
SPIN4	25.0	0.0	0.0	0.0	0.0	24.0	1.0	0.0	0.0	0.0
TAFA3	14.0	1.0	0.0	0.0	0.0	12.0	0.0	1.0	0.0	0.0
PALM3	15.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0
NOL4L	38.0	4.0	0.0	0.0	0.0	32.0	2.0	0.0	0.0	0.0
GMPPA	36.0	1.0	1.0	0.0	0.0	30.0	3.0	0.0	1.0	0.0
NKAIN2	45.0	1.0	0.0	0.0	0.0	34.0	5.0	0.0	4.0	1.0
RGS18	70.0	1.0	0.0	1.0	0.0	59.0	8.0	1.0	0.0	0.0
TFF3	6.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0
UBN2	113.0	8.0	1.0	1.0	0.0	95.0	5.0	0.0	3.0	0.0
GDI2	34.0	0.0	0.0	0.0	0.0	26.0	2.0	0.0	6.0	0.0
TMEM156	35.0	0.0	0.0	0.0	0.0	32.0	1.0	0.0	2.0	0.0
ACSM5	139.0	4.0	1.0	0.0	0.0	125.0	1.0	0.0	8.0	0.0
KCNAB2	27.0	1.0	2.0	0.0	0.0	22.0	0.0	0.0	2.0	0.0
CCT7	48.0	0.0	0.0	0.0	0.0	39.0	5.0	0.0	4.0	0.0
GALNT9	56.0	0.0	0.0	0.0	0.0	52.0	3.0	0.0	1.0	0.0
WDR92	51.0	0.0	0.0	0.0	0.0	44.0	5.0	0.0	2.0	0.0
AEBP1	119.0	6.0	0.0	6.0	0.0	104.0	3.0	0.0	0.0	0.0
STK11IP	86.0	2.0	0.0	0.0	0.0	76.0	4.0	0.0	4.0	0.0
ERN2	148.0	3.0	3.0	2.0	0.0	132.0	7.0	0.0	1.0	0.0
TMEM109	23.0	0.0	0.0	0.0	0.0	21.0	2.0	0.0	0.0	0.0
ARAP3	145.0	6.0	1.0	0.0	0.0	115.0	15.0	0.0	8.0	0.0
GPR176	45.0	0.0	0.0	0.0	0.0	39.0	5.0	0.0	1.0	0.0
PTGER4	57.0	2.0	1.0	2.0	0.0	49.0	3.0	0.0	0.0	0.0
POU2AF1	43.0	0.0	1.0	0.0	0.0	40.0	2.0	0.0	0.0	0.0
ZNF234	79.0	5.0	1.0	0.0	0.0	64.0	8.0	0.0	1.0	0.0
C12ORF56	49.0	0.0	0.0	0.0	0.0	42.0	4.0	0.0	3.0	0.0
PLEKHA4	112.0	4.0	2.0	1.0	0.0	100.0	3.0	0.0	2.0	0.0
BTBD3	63.0	1.0	1.0	3.0	0.0	54.0	4.0	0.0	0.0	0.0
XKR4	135.0	5.0	1.0	2.0	0.0	118.0	9.0	0.0	0.0	0.0
LIPN	36.0	0.0	0.0	1.0	0.0	30.0	3.0	0.0	2.0	0.0
C11ORF21	4.0	1.0	0.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0
TMEM200C	61.0	9.0	2.0	0.0	0.0	49.0	1.0	0.0	0.0	0.0
NXF2B	41.0	1.0	0.0	0.0	0.0	34.0	4.0	0.0	2.0	0.0
TSC22D4	29.0	1.0	0.0	0.0	0.0	26.0	2.0	0.0	0.0	0.0
TTLL1	39.0	1.0	0.0	0.0	0.0	38.0	0.0	0.0	0.0	0.0
GZMA	60.0	2.0	1.0	0.0	0.0	53.0	4.0	0.0	0.0	0.0
SSTR3	65.0	0.0	0.0	0.0	0.0	61.0	4.0	0.0	0.0	0.0
FDX2	24.0	0.0	0.0	0.0	0.0	21.0	3.0	0.0	0.0	0.0
IPO11	72.0	9.0	1.0	1.0	0.0	49.0	7.0	0.0	5.0	0.0
MSL3	66.0	7.0	3.0	0.0	0.0	47.0	5.0	0.0	4.0	0.0
FIS1	14.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0
POP5	9.0	1.0	0.0	0.0	0.0	6.0	2.0	0.0	0.0	0.0
R3HDM4	15.0	1.0	0.0	1.0	0.0	13.0	0.0	0.0	0.0	0.0
KLC3	36.0	1.0	1.0	0.0	0.0	30.0	2.0	0.0	2.0	0.0
WDFY1	33.0	1.0	0.0	0.0	0.0	30.0	1.0	0.0	1.0	0.0
C11ORF86	7.0	0.0	1.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0
LINC01599	27.0	0.0	0.0	0.0	0.0	23.0	3.0	0.0	0.0	1.0
C14ORF28	29.0	1.0	0.0	0.0	0.0	26.0	2.0	0.0	0.0	0.0
CCNA1	84.0	1.0	1.0	1.0	0.0	74.0	4.0	0.0	3.0	0.0
RLF	147.0	8.0	2.0	2.0	0.0	126.0	7.0	0.0	2.0	0.0
CDC23	33.0	2.0	1.0	1.0	0.0	28.0	1.0	0.0	0.0	0.0
BICRAL	95.0	9.0	2.0	0.0	0.0	74.0	9.0	0.0	1.0	0.0
C4B	25.0	0.0	0.0	0.0	0.0	20.0	4.0	0.0	1.0	0.0
TNRC6B	166.0	14.0	1.0	0.0	0.0	128.0	21.0	0.0	2.0	0.0
TSSK6	33.0	0.0	1.0	0.0	0.0	30.0	2.0	0.0	0.0	0.0
CHST15	71.0	3.0	0.0	0.0	0.0	61.0	7.0	0.0	0.0	0.0
SPANXC	31.0	0.0	0.0	0.0	0.0	27.0	3.0	1.0	0.0	0.0
SLC39A11	41.0	0.0	1.0	0.0	0.0	34.0	2.0	0.0	4.0	0.0
PRKAB1	22.0	0.0	2.0	0.0	0.0	19.0	1.0	0.0	0.0	0.0
FZD9	42.0	1.0	0.0	0.0	1.0	39.0	0.0	1.0	0.0	0.0
LMNA	52.0	0.0	2.0	2.0	0.0	42.0	3.0	0.0	3.0	0.0
MAGEA1	52.0	1.0	0.0	0.0	0.0	49.0	2.0	0.0	0.0	0.0
ZNF443	62.0	0.0	1.0	0.0	0.0	54.0	7.0	0.0	0.0	0.0
TOR1A	26.0	1.0	0.0	2.0	0.0	20.0	3.0	0.0	0.0	0.0
DDIAS	63.0	0.0	0.0	0.0	0.0	58.0	4.0	0.0	0.0	1.0
FCGR3B	48.0	1.0	0.0	0.0	0.0	43.0	1.0	1.0	1.0	1.0
CNGB3	202.0	3.0	2.0	3.0	0.0	175.0	13.0	0.0	6.0	0.0
NDUFA7	12.0	0.0	0.0	1.0	0.0	10.0	0.0	0.0	1.0	0.0
PRIMA1	20.0	0.0	0.0	1.0	0.0	17.0	1.0	0.0	1.0	0.0
PIP5K1A	53.0	4.0	1.0	0.0	0.0	45.0	2.0	0.0	1.0	0.0
ADD3	74.0	11.0	1.0	0.0	0.0	52.0	6.0	0.0	4.0	0.0
SVIP	11.0	1.0	0.0	0.0	0.0	9.0	1.0	0.0	0.0	0.0
KCNQ1	50.0	1.0	0.0	0.0	0.0	47.0	0.0	0.0	2.0	0.0
SOAT1	59.0	4.0	2.0	0.0	0.0	45.0	1.0	1.0	6.0	0.0
KIF7	100.0	7.0	3.0	0.0	0.0	86.0	4.0	0.0	0.0	0.0
NUP133	132.0	3.0	2.0	0.0	0.0	101.0	19.0	0.0	7.0	0.0
ANO7	101.0	2.0	0.0	0.0	0.0	92.0	4.0	0.0	3.0	0.0
FAM25C	3.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0
GSTM3	22.0	0.0	0.0	0.0	0.0	18.0	2.0	0.0	2.0	0.0
SLC9A5	93.0	2.0	1.0	0.0	0.0	79.0	5.0	1.0	5.0	0.0
NR2C2	43.0	3.0	2.0	0.0	0.0	33.0	4.0	1.0	0.0	0.0
OR8J1	95.0	3.0	0.0	1.0	0.0	85.0	6.0	0.0	0.0	0.0
VAT1L	77.0	1.0	1.0	0.0	0.0	73.0	1.0	0.0	1.0	0.0
POLA1	117.0	1.0	2.0	0.0	0.0	102.0	6.0	0.0	6.0	0.0
ACSL5	71.0	2.0	2.0	0.0	0.0	57.0	3.0	1.0	6.0	0.0
CYB561D1	11.0	0.0	0.0	1.0	0.0	10.0	0.0	0.0	0.0	0.0
DPYD	227.0	3.0	0.0	0.0	0.0	206.0	11.0	0.0	7.0	0.0
AACS	67.0	1.0	1.0	0.0	0.0	56.0	5.0	0.0	4.0	0.0
ZBTB5	43.0	2.0	1.0	1.0	1.0	35.0	2.0	0.0	1.0	0.0
ZNF837	11.0	2.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0
IGHV1-8	15.0	0.0	0.0	0.0	0.0	14.0	1.0	0.0	0.0	0.0
SERPINA12	60.0	1.0	0.0	0.0	0.0	56.0	2.0	0.0	1.0	0.0
SERPINB5	45.0	1.0	0.0	0.0	0.0	38.0	3.0	0.0	2.0	1.0
EPGN	13.0	0.0	0.0	0.0	0.0	11.0	1.0	0.0	1.0	0.0
ARG1	29.0	1.0	1.0	0.0	0.0	23.0	2.0	0.0	2.0	0.0
POU3F4	84.0	1.0	0.0	0.0	0.0	77.0	5.0	0.0	0.0	1.0
TRBV4-1	27.0	0.0	0.0	0.0	0.0	24.0	1.0	0.0	0.0	2.0
NLGN3	111.0	5.0	2.0	0.0	0.0	96.0	7.0	0.0	1.0	0.0
ERICH6B	24.0	3.0	0.0	0.0	0.0	16.0	5.0	0.0	0.0	0.0
TMEM150B	15.0	1.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0
HSPH1	67.0	3.0	0.0	0.0	0.0	57.0	7.0	0.0	0.0	0.0
CARMIL2	118.0	6.0	2.0	2.0	1.0	92.0	11.0	0.0	4.0	0.0
TRBV6-4	31.0	0.0	0.0	0.0	0.0	30.0	1.0	0.0	0.0	0.0
STEAP4	75.0	3.0	0.0	1.0	0.0	59.0	11.0	0.0	1.0	0.0
LYRM1	5.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	1.0	0.0
GNA15	36.0	0.0	0.0	0.0	0.0	33.0	3.0	0.0	0.0	0.0
SPATA45	14.0	0.0	1.0	0.0	0.0	12.0	1.0	0.0	0.0	0.0
TEX29	19.0	0.0	0.0	0.0	0.0	15.0	2.0	0.0	2.0	0.0
MARK1	133.0	1.0	5.0	1.0	0.0	110.0	10.0	1.0	5.0	0.0
SPIRE1	50.0	2.0	1.0	0.0	0.0	42.0	3.0	1.0	1.0	0.0
ANKRD54	21.0	1.0	0.0	0.0	0.0	18.0	1.0	0.0	1.0	0.0
WDR38	19.0	2.0	1.0	0.0	0.0	14.0	1.0	0.0	1.0	0.0
CENPE	255.0	9.0	2.0	1.0	0.0	217.0	15.0	0.0	11.0	0.0
SLC9B2	50.0	2.0	0.0	0.0	0.0	39.0	4.0	0.0	5.0	0.0
FAM209A	22.0	2.0	0.0	0.0	0.0	16.0	3.0	0.0	1.0	0.0
SAMD12	39.0	0.0	0.0	0.0	0.0	35.0	3.0	0.0	1.0	0.0
C17ORF64	18.0	0.0	0.0	0.0	0.0	17.0	0.0	0.0	1.0	0.0
UBN1	88.0	4.0	0.0	4.0	0.0	75.0	4.0	0.0	1.0	0.0
NAXE	17.0	1.0	0.0	1.0	1.0	13.0	1.0	0.0	0.0	0.0
TAS2R4	21.0	2.0	0.0	0.0	0.0	19.0	0.0	0.0	0.0	0.0
CHD2	169.0	7.0	2.0	2.0	0.0	131.0	21.0	0.0	6.0	0.0
MTAP	28.0	2.0	3.0	0.0	0.0	22.0	0.0	0.0	1.0	0.0
PTGS1	92.0	2.0	0.0	0.0	0.0	77.0	8.0	0.0	5.0	0.0
PCDHA2	223.0	4.0	1.0	0.0	0.0	208.0	10.0	0.0	0.0	0.0
CFAP300	36.0	2.0	0.0	0.0	0.0	28.0	5.0	0.0	1.0	0.0
CENPP	24.0	3.0	1.0	0.0	0.0	19.0	1.0	0.0	0.0	0.0
AKR1E2	29.0	2.0	0.0	0.0	0.0	23.0	2.0	0.0	2.0	0.0
TENT2	51.0	4.0	1.0	0.0	0.0	39.0	7.0	0.0	0.0	0.0
TAS2R19	31.0	1.0	1.0	0.0	0.0	29.0	0.0	0.0	0.0	0.0
CEP162	136.0	8.0	6.0	3.0	0.0	105.0	12.0	0.0	2.0	0.0
ZNF524	21.0	2.0	0.0	1.0	0.0	18.0	0.0	0.0	0.0	0.0
C1QTNF9	41.0	0.0	0.0	0.0	0.0	38.0	3.0	0.0	0.0	0.0
MED7	19.0	0.0	0.0	0.0	0.0	18.0	1.0	0.0	0.0	0.0
CCR5	36.0	1.0	1.0	1.0	0.0	31.0	0.0	0.0	1.0	1.0
FAAH	49.0	5.0	0.0	0.0	0.0	39.0	3.0	0.0	1.0	1.0
EIF5A	28.0	1.0	0.0	0.0	0.0	23.0	3.0	0.0	1.0	0.0
CKMT1B	17.0	0.0	0.0	0.0	0.0	17.0	0.0	0.0	0.0	0.0
VGLL1	45.0	0.0	0.0	0.0	0.0	41.0	2.0	0.0	1.0	1.0
TBXA2R	32.0	0.0	0.0	0.0	0.0	30.0	2.0	0.0	0.0	0.0
TRAJ54	2.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0
ZBTB42	16.0	1.0	0.0	0.0	0.0	14.0	1.0	0.0	0.0	0.0
SLC12A5	191.0	0.0	2.0	2.0	0.0	172.0	10.0	0.0	5.0	0.0
TRIM31	39.0	1.0	0.0	1.0	0.0	31.0	5.0	0.0	1.0	0.0
ERMAP	36.0	1.0	1.0	0.0	0.0	32.0	2.0	0.0	0.0	0.0
ENPP6	56.0	0.0	0.0	0.0	0.0	53.0	2.0	0.0	1.0	0.0
TSLP	23.0	0.0	1.0	0.0	0.0	18.0	3.0	0.0	1.0	0.0
C1D	11.0	0.0	1.0	0.0	0.0	7.0	2.0	0.0	0.0	1.0
MSMO1	29.0	1.0	0.0	0.0	0.0	23.0	2.0	0.0	3.0	0.0
PKD1L3	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0
CALM3	12.0	0.0	0.0	0.0	0.0	10.0	2.0	0.0	0.0	0.0
RFC1	83.0	4.0	2.0	3.0	0.0	68.0	4.0	0.0	2.0	0.0
SPRR2A	17.0	0.0	0.0	0.0	0.0	15.0	2.0	0.0	0.0	0.0
MFAP5	39.0	0.0	1.0	0.0	0.0	29.0	3.0	0.0	6.0	0.0
PI15	68.0	2.0	0.0	1.0	0.0	58.0	2.0	0.0	5.0	0.0
NOBOX	102.0	9.0	0.0	0.0	0.0	88.0	5.0	0.0	0.0	0.0
PLEKHJ1	11.0	0.0	0.0	1.0	0.0	9.0	1.0	0.0	0.0	0.0
ESRP1	118.0	26.0	1.0	1.0	0.0	78.0	11.0	0.0	1.0	0.0
MDFI	15.0	1.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0
MYLIP	38.0	2.0	1.0	0.0	0.0	33.0	2.0	0.0	0.0	0.0
COLGALT2	73.0	2.0	0.0	0.0	0.0	63.0	5.0	0.0	3.0	0.0
BDKRB2	51.0	0.0	0.0	0.0	0.0	51.0	0.0	0.0	0.0	0.0
ZNF696	21.0	0.0	0.0	0.0	0.0	21.0	0.0	0.0	0.0	0.0
CNTD1	22.0	1.0	0.0	1.0	0.0	18.0	2.0	0.0	0.0	0.0
F2RL3	30.0	1.0	2.0	0.0	0.0	27.0	0.0	0.0	0.0	0.0
NELFA	47.0	4.0	1.0	0.0	0.0	40.0	2.0	0.0	0.0	0.0
STAT6	86.0	3.0	1.0	1.0	0.0	73.0	6.0	0.0	2.0	0.0
GRM7	257.0	4.0	4.0	0.0	0.0	223.0	20.0	0.0	6.0	0.0
TP53RK	14.0	3.0	0.0	0.0	0.0	10.0	1.0	0.0	0.0	0.0
ELAVL3	38.0	1.0	1.0	0.0	0.0	33.0	2.0	0.0	1.0	0.0
LDAH	30.0	1.0	0.0	1.0	0.0	27.0	1.0	0.0	0.0	0.0
GPX6	52.0	1.0	0.0	0.0	0.0	48.0	2.0	0.0	1.0	0.0
SHMT2	42.0	1.0	0.0	0.0	0.0	37.0	3.0	0.0	1.0	0.0
MEOX2	56.0	0.0	0.0	0.0	0.0	52.0	4.0	0.0	0.0	0.0
TULP4	155.0	5.0	2.0	4.0	0.0	136.0	6.0	0.0	2.0	0.0
SLC35C2	33.0	0.0	0.0	0.0	1.0	32.0	0.0	0.0	0.0	0.0
TEX22	2.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
SVIL	251.0	15.0	2.0	2.0	0.0	204.0	20.0	0.0	8.0	0.0
PCNX2	278.0	6.0	4.0	0.0	0.0	237.0	26.0	0.0	5.0	0.0
MAP2K2	46.0	0.0	1.0	1.0	0.0	40.0	3.0	0.0	1.0	0.0
LGR6	121.0	3.0	0.0	1.0	0.0	109.0	6.0	0.0	2.0	0.0
GPS2	49.0	9.0	2.0	0.0	0.0	17.0	15.0	0.0	6.0	0.0
LILRB1	166.0	1.0	3.0	0.0	0.0	151.0	9.0	1.0	1.0	0.0
SLC41A1	43.0	0.0	0.0	0.0	0.0	41.0	1.0	0.0	1.0	0.0
TRDJ1	3.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0
RHBG	44.0	1.0	0.0	0.0	0.0	39.0	2.0	0.0	2.0	0.0
TK2	17.0	1.0	1.0	0.0	0.0	12.0	0.0	1.0	2.0	0.0
OR2M7	108.0	2.0	0.0	0.0	0.0	97.0	9.0	0.0	0.0	0.0
USP5	82.0	3.0	0.0	3.0	0.0	71.0	4.0	0.0	1.0	0.0
ALX3	34.0	2.0	0.0	0.0	0.0	28.0	2.0	0.0	2.0	0.0
TKTL2	143.0	1.0	2.0	0.0	0.0	133.0	6.0	0.0	0.0	1.0
C3ORF33	22.0	3.0	0.0	0.0	0.0	16.0	3.0	0.0	0.0	0.0
MAGI1	198.0	7.0	2.0	4.0	0.0	169.0	10.0	0.0	6.0	0.0
DNAJC17	30.0	0.0	0.0	0.0	0.0	27.0	2.0	0.0	1.0	0.0
RNF14	35.0	3.0	1.0	0.0	1.0	27.0	3.0	0.0	0.0	0.0
COLCA2	5.0	0.0	0.0	0.0	0.0	3.0	2.0	0.0	0.0	0.0
NUDT1	21.0	0.0	0.0	0.0	0.0	21.0	0.0	0.0	0.0	0.0
CACNA2D2	83.0	1.0	0.0	1.0	0.0	77.0	0.0	0.0	4.0	0.0
IGKV1D-43	52.0	3.0	0.0	0.0	0.0	45.0	4.0	0.0	0.0	0.0
ACAP2	72.0	4.0	1.0	1.0	0.0	58.0	6.0	0.0	2.0	0.0
CD300LB	44.0	1.0	0.0	0.0	0.0	38.0	4.0	0.0	1.0	0.0
IL6	29.0	0.0	0.0	0.0	0.0	28.0	1.0	0.0	0.0	0.0
NKX2-5	38.0	0.0	1.0	0.0	0.0	34.0	3.0	0.0	0.0	0.0
NAPSA	41.0	3.0	0.0	0.0	0.0	37.0	1.0	0.0	0.0	0.0
PPP2R5D	56.0	1.0	1.0	1.0	0.0	47.0	4.0	0.0	2.0	0.0
CACNG2	51.0	3.0	0.0	0.0	0.0	45.0	1.0	0.0	1.0	1.0
ACY1	37.0	3.0	0.0	0.0	0.0	31.0	2.0	0.0	1.0	0.0
RNF216	84.0	2.0	0.0	1.0	0.0	68.0	9.0	0.0	4.0	0.0
IRF5	36.0	0.0	0.0	0.0	0.0	36.0	0.0	0.0	0.0	0.0
HTATSF1	110.0	5.0	0.0	2.0	0.0	95.0	7.0	0.0	1.0	0.0
PDCD2L	19.0	1.0	0.0	0.0	0.0	14.0	2.0	0.0	2.0	0.0
CNGA1	88.0	4.0	2.0	0.0	0.0	73.0	8.0	0.0	0.0	1.0
LAMA2	524.0	16.0	6.0	2.0	0.0	437.0	38.0	0.0	25.0	0.0
OR8K3	115.0	2.0	2.0	0.0	0.0	102.0	7.0	1.0	0.0	1.0
L3MBTL1	95.0	6.0	0.0	0.0	0.0	84.0	4.0	0.0	1.0	0.0
MAP3K2	56.0	5.0	0.0	0.0	0.0	44.0	4.0	0.0	3.0	0.0
ASTN2	305.0	5.0	2.0	0.0	0.0	264.0	23.0	0.0	11.0	0.0
DENND6B	37.0	1.0	0.0	0.0	0.0	33.0	2.0	0.0	1.0	0.0
BCL10	23.0	2.0	0.0	0.0	0.0	18.0	3.0	0.0	0.0	0.0
MSMB	15.0	2.0	1.0	0.0	0.0	8.0	3.0	0.0	1.0	0.0
SLC48A1	8.0	0.0	1.0	0.0	0.0	6.0	0.0	0.0	1.0	0.0
AQP1	30.0	1.0	1.0	1.0	0.0	25.0	2.0	0.0	0.0	0.0
CASKIN1	82.0	2.0	2.0	0.0	0.0	72.0	6.0	0.0	0.0	0.0
ATP6V0D1	18.0	0.0	0.0	1.0	0.0	15.0	2.0	0.0	0.0	0.0
MIA2	177.0	10.0	1.0	1.0	0.0	145.0	16.0	0.0	4.0	0.0
COQ6	38.0	3.0	1.0	1.0	0.0	30.0	3.0	0.0	0.0	0.0
AGO4	86.0	3.0	1.0	0.0	0.0	72.0	7.0	0.0	3.0	0.0
NHLRC4	8.0	1.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0
VGLL3	76.0	1.0	1.0	0.0	0.0	67.0	5.0	0.0	2.0	0.0
KCNK12	2.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0
NT5C	10.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0
FAM83F	48.0	1.0	2.0	0.0	0.0	42.0	2.0	0.0	1.0	0.0
RAD54B	82.0	7.0	0.0	0.0	0.0	62.0	10.0	0.0	3.0	0.0
RAD50	91.0	7.0	0.0	0.0	0.0	80.0	3.0	0.0	1.0	0.0
CEACAM4	46.0	2.0	0.0	0.0	0.0	40.0	2.0	0.0	1.0	1.0
MGST1	16.0	1.0	0.0	0.0	0.0	14.0	1.0	0.0	0.0	0.0
RTL4	76.0	1.0	0.0	0.0	0.0	64.0	10.0	0.0	0.0	1.0
GPR182	33.0	1.0	1.0	0.0	0.0	29.0	2.0	0.0	0.0	0.0
C20ORF141	17.0	0.0	0.0	0.0	0.0	16.0	1.0	0.0	0.0	0.0
GAL3ST2	35.0	1.0	0.0	0.0	0.0	28.0	4.0	0.0	2.0	0.0
FOXD4L5	48.0	1.0	1.0	0.0	0.0	45.0	1.0	0.0	0.0	0.0
BIVM-ERCC5	128.0	4.0	1.0	0.0	0.0	109.0	11.0	0.0	3.0	0.0
BNIP3	12.0	0.0	0.0	0.0	0.0	9.0	2.0	0.0	1.0	0.0
ANXA10	40.0	0.0	0.0	0.0	0.0	35.0	3.0	0.0	2.0	0.0
PFKL	60.0	2.0	1.0	0.0	0.0	54.0	2.0	0.0	1.0	0.0
CCDC160	27.0	4.0	1.0	0.0	0.0	21.0	1.0	0.0	0.0	0.0
VEGFA	24.0	0.0	0.0	0.0	0.0	16.0	7.0	0.0	1.0	0.0
POLE	227.0	4.0	3.0	2.0	1.0	200.0	7.0	0.0	10.0	0.0
CYTH3	34.0	2.0	0.0	1.0	0.0	27.0	1.0	0.0	3.0	0.0
RFLNB	21.0	0.0	0.0	0.0	0.0	20.0	1.0	0.0	0.0	0.0
FAM71C	49.0	6.0	0.0	0.0	0.0	41.0	1.0	0.0	1.0	0.0
ID2	13.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	1.0	0.0
LY9	105.0	1.0	1.0	0.0	0.0	91.0	10.0	0.0	2.0	0.0
TUBB	33.0	3.0	0.0	1.0	0.0	27.0	1.0	0.0	0.0	1.0
TMIE	6.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0
PEX7	29.0	0.0	0.0	0.0	0.0	28.0	0.0	0.0	1.0	0.0
CCDC120	57.0	6.0	0.0	0.0	0.0	47.0	4.0	0.0	0.0	0.0
OSR1	35.0	1.0	1.0	0.0	0.0	33.0	0.0	0.0	0.0	0.0
JDP2	18.0	1.0	1.0	0.0	0.0	12.0	4.0	0.0	0.0	0.0
FBH1	106.0	2.0	0.0	1.0	0.0	85.0	12.0	0.0	6.0	0.0
KCNRG	31.0	1.0	0.0	0.0	0.0	26.0	4.0	0.0	0.0	0.0
POM121	105.0	4.0	0.0	0.0	0.0	93.0	5.0	0.0	3.0	0.0
SMIM19	10.0	0.0	0.0	0.0	0.0	9.0	0.0	1.0	0.0	0.0
EPC1	82.0	3.0	1.0	1.0	0.0	76.0	0.0	0.0	1.0	0.0
ASB12	55.0	0.0	0.0	0.0	0.0	52.0	2.0	0.0	0.0	1.0
GLCE	50.0	2.0	0.0	0.0	0.0	44.0	2.0	0.0	2.0	0.0
CFAP44	151.0	8.0	1.0	0.0	0.0	116.0	18.0	0.0	7.0	1.0
FAM241A	6.0	0.0	0.0	0.0	0.0	4.0	2.0	0.0	0.0	0.0
RPLP1	6.0	1.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0
SMYD3	51.0	5.0	1.0	0.0	0.0	39.0	4.0	0.0	2.0	0.0
CDH24	67.0	4.0	0.0	0.0	0.0	61.0	2.0	0.0	0.0	0.0
SLC22A15	44.0	2.0	0.0	0.0	0.0	40.0	1.0	0.0	1.0	0.0
PUS7L	61.0	2.0	0.0	0.0	0.0	51.0	5.0	0.0	1.0	2.0
PTX4	53.0	3.0	0.0	0.0	0.0	47.0	1.0	1.0	1.0	0.0
ADPRH	43.0	0.0	0.0	0.0	0.0	38.0	5.0	0.0	0.0	0.0
